title	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Psal_005746	0.2213	0.5106	0.1724	0.2805	0.22	0.117	0.46	46.44	0.664	0.566	274	279	-0.16595	0.060932
Psal_005747	0.2899	0.6008	0.1491	0.1683	0.306	0.233	0.559	37.35	0.633	0.583	281	295	-0.218644	0.081356
Psal_005748	0.2517	0.3448	0.3656	0.3071	0.201	-0.001	0.419	55.77	0.504	0.511	353	371	-0.197035	0.097035
Psal_005749	0.3348	0.3869	0.2482	0.2691	0.216	0.084	0.457	56.71	0.522	0.491	523	539	-0.198516	0.061224
Psal_005750	0.3143	0.3736	0.2868	0.2534	0.206	0.079	0.447	57.71	0.503	0.487	523	537	-0.128492	0.050279
Psal_005751	0.269	0.4416	0.2019	0.2908	0.224	0.124	0.464	49.82	0.603	0.542	239	241	-0.160581	0.058091
Psal_005752	0.2912	0.3768	0.2111	0.3043	0.214	0.109	0.466	53.07	0.565	0.523	874	900	0.420667	0.076667
Psal_005753	0.2866	0.3503	0.1938	0.3686	0.19	0.07	0.443	56.99	0.591	0.535	357	373	-0.277748	0.075067
Psal_005754	0.2368	0.3289	0.3151	0.3571	0.166	0.038	0.418	61	0.549	0.53	91	93	-0.28172	0.107527
Psal_005755	0.7111	0.0667	0.1591	0.2195	0.316	0.101	0.49	41.35	0.235	0.509	51	53	0.215094	0.056604
Psal_005756	0.3116	0.4493	0.157	0.2411	0.208	0.015	0.404	49.45	0.589	0.538	151	156	0.283974	0.064103
Psal_005757	0.2564	0.4308	0.2308	0.2857	0.219	0.07	0.433	49.76	0.588	0.538	238	241	-0.174689	0.049793
Psal_005758	0.3469	0.3683	0.2464	0.2776	0.208	0.058	0.441	58.95	0.513	0.494	546	566	-0.169258	0.061837
Psal_005759	0.31	0.4076	0.2677	0.2612	0.203	0.039	0.432	58.42	0.53	0.504	560	575	-0.240522	0.067826
Psal_005760	0.2812	0.4597	0.2384	0.2305	0.246	0.108	0.478	50.03	0.565	0.5	464	485	0.394639	0.138144
Psal_005761	0.3427	0.3583	0.2308	0.3033	0.216	0.033	0.443	55.27	0.528	0.513	845	878	-0.572779	0.087699
Psal_005762	0.2971	0.4272	0.2954	0.2795	0.244	0.106	0.482	56.05	0.536	0.496	649	672	-0.592262	0.061012
Psal_005763	0.3089	0.4522	0.195	0.2511	0.251	0.102	0.471	47.27	0.579	0.529	342	353	-0.230878	0.101983
Psal_005764	0.2634	0.4086	0.2826	0.2861	0.236	0.091	0.466	54.32	0.552	0.513	451	463	-0.27689	0.082073
Psal_005765	0.3636	0.3273	0.3841	0.1688	0.232	0.079	0.458	56.48	0.394	0.503	203	206	-0.520874	0.038835
Psal_005766	0.3006	0.3438	0.2655	0.3243	0.208	0.018	0.421	57.3	0.532	0.529	620	639	-0.482786	0.059468
Psal_005767	0.3037	0.3543	0.2273	0.3506	0.224	0.071	0.46	59.08	0.56	0.51	911	959	-0.147862	0.134515
Psal_005768	0.2919	0.3493	0.3008	0.2906	0.19	-0.012	0.409	55.77	0.512	0.509	484	500	-0.294	0.084
Psal_005769	0.2882	0.3312	0.3003	0.284	0.206	-0.007	0.42	60.67	0.505	0.534	734	760	-0.684737	0.05
Psal_005770	0.2533	0.3267	0.3288	0.2868	0.187	0.015	0.425	58.58	0.506	0.543	174	180	-0.545	0.077778
Psal_005771	0.3423	0.3819	0.2556	0.274	0.237	0.065	0.455	57.71	0.516	0.494	732	760	-0.397237	0.086842
Psal_005772	0.3498	0.3956	0.2249	0.2668	0.224	0.055	0.452	55.46	0.528	0.514	642	660	-0.451818	0.087879
Psal_005773	0.2811	0.4975	0.1864	0.2415	0.265	0.139	0.492	50.37	0.608	0.531	457	485	-0.077113	0.127835
Psal_005774	0.3348	0.3674	0.2756	0.237	0.217	0.061	0.444	56.52	0.492	0.506	790	814	-0.184767	0.079853
Psal_005775	0.2383	0.4783	0.2932	0.2364	0.242	0.126	0.496	53.39	0.57	0.529	670	690	-0.644348	0.073913
Psal_005776	0.3415	0.3616	0.2693	0.3366	0.275	0.094	0.491	56.73	0.527	0.503	566	599	-0.622704	0.081803
Psal_005777	0.3105	0.3757	0.2383	0.2971	0.199	0.054	0.441	57.51	0.543	0.515	1782	1840	-0.36587	0.06087
Psal_005778	0.3089	0.3821	0.2657	0.2681	0.191	0.03	0.428	58.92	0.526	0.508	838	865	-0.226243	0.091329
Psal_005779	0.3019	0.3508	0.2326	0.2956	0.213	0.047	0.442	58.34	0.538	0.531	663	684	0.050293	0.078947
Psal_005780	0.331	0.3724	0.2273	0.2745	0.178	-0.039	0.394	61	0.529	0.505	155	159	-0.450943	0.075472
Psal_005781	0.3119	0.2477	0.2526	0.3258	0.15	-0.071	0.36	59.85	0.491	0.531	114	118	0.166102	0.025424
Psal_005782	0.3333	0.3737	0.25	0.2152	0.247	0.153	0.523	55.24	0.495	0.521	109	112	-0.022322	0.053571
Psal_005783	0.3636	0.3388	0.1827	0.3232	0.305	0.125	0.507	54.32	0.537	0.539	136	141	-0.402837	0.078014
Psal_005784	0.4177	0.3544	0.2471	0.2716	0.305	0.063	0.49	57.97	0.481	0.517	104	107	-0.83271	0.056075
Psal_005785	0.3199	0.3467	0.2756	0.2728	0.209	0.06	0.454	58.47	0.504	0.505	1168	1211	-0.201156	0.11313
Psal_005786	0.3477	0.3639	0.2141	0.2785	0.207	-0.012	0.417	54.06	0.528	0.558	422	435	-0.842989	0.082759
Psal_005787	0.2789	0.3469	0.2672	0.3333	0.217	0.111	0.47	56.31	0.548	0.506	168	176	-0.101137	0.096591
Psal_005788	0.1599	0.5011	0.2991	0.2153	0.213	0.13	0.494	48.74	0.609	0.596	534	554	-0.568592	0.054152
Psal_005789	0.3501	0.3469	0.2877	0.2378	0.204	0.005	0.412	58.87	0.473	0.497	735	763	-0.090039	0.095675
Psal_005790	0.3362	0.3469	0.2404	0.3424	0.231	0.005	0.436	58.62	0.541	0.528	601	618	-1.043204	0.038835
Psal_005791	0.3595	0.3338	0.2804	0.2784	0.214	0.037	0.44	58.53	0.482	0.496	930	954	-0.537946	0.061845
Psal_005792	0.3147	0.3969	0.2389	0.2898	0.256	0.08	0.468	54.72	0.55	0.545	797	843	-0.695492	0.072361
Psal_005793	0.323	0.3969	0.2664	0.2374	0.223	0.062	0.453	59.24	0.516	0.511	289	301	-0.221927	0.089701
Psal_005794	0.2796	0.3175	0.3037	0.3171	0.167	-0.049	0.398	61	0.516	0.543	256	261	-0.886207	0.038314
Psal_005795	0.2916	0.3881	0.2751	0.2913	0.206	0.002	0.421	57.14	0.541	0.53	1038	1073	-0.530941	0.076421
Psal_005796	0.2782	0.4234	0.2794	0.2486	0.242	0.09	0.469	56.15	0.545	0.499	277	287	-0.034843	0.121951
Psal_005797	0.3093	0.552	0.0836	0.194	0.341	0.297	0.616	42.35	0.652	0.562	417	422	-0.277488	0.035545
Psal_005798	0.3373	0.2944	0.3291	0.2948	0.217	0.06	0.465	58.89	0.461	0.511	852	882	-0.867687	0.047619
Psal_005799	0.3135	0.2659	0.3306	0.2616	0.235	0.034	0.443	58.04	0.446	0.537	289	300	-0.086333	0.063333
Psal_005800	0.3596	0.4692	0.125	0.208	0.234	0.099	0.466	43.58	0.579	0.567	335	338	0.222189	0.050296
Psal_005801	0.3111	0.2901	0.2634	0.3404	0.19	0.001	0.406	59.63	0.514	0.512	609	638	-0.089812	0.100313
Psal_005803	0.3184	0.3522	0.2598	0.301	0.209	0.033	0.432	57.42	0.523	0.513	2984	3072	-0.228483	0.082357
Psal_005804	0.3038	0.3038	0.3445	0.235	0.177	-0.055	0.407	58.12	0.452	0.558	263	266	-0.699624	0.037594
Psal_005805	0.3364	0.3915	0.2449	0.2813	0.246	0.095	0.473	56.98	0.529	0.505	641	664	-0.374699	0.096386
Psal_005806	0.3128	0.2938	0.2698	0.3197	0.179	-0.045	0.388	58.01	0.5	0.517	482	502	0.289641	0.103586
Psal_005807	0.3254	0.3491	0.275	0.2914	0.208	0.038	0.435	57.95	0.509	0.497	1025	1056	-0.266856	0.070076
Psal_005808	0.3373	0.3012	0.257	0.3186	0.208	0.057	0.452	57.8	0.502	0.515	279	288	-0.457986	0.065972
Psal_005809	0.3408	0.3426	0.2274	0.2934	0.209	0.088	0.459	56.17	0.52	0.54	617	646	-0.33065	0.069659
Psal_005810	0.3135	0.368	0.3001	0.2348	0.233	0.086	0.466	58.22	0.492	0.501	902	930	-0.22957	0.086022
Psal_005811	0.3117	0.3783	0.2599	0.2795	0.205	0.034	0.433	56.39	0.527	0.5	700	734	-0.161308	0.077657
Psal_005812	0.302	0.2745	0.3049	0.3259	0.175	-0.037	0.4	52.27	0.485	0.514	295	303	0.141254	0.092409
Psal_005813	0.2891	0.396	0.2627	0.3217	0.232	0.067	0.468	57.25	0.558	0.525	622	644	-0.659783	0.06677
Psal_005814	0.2951	0.4754	0.1429	0.2952	0.243	0.127	0.482	52.07	0.631	0.548	282	296	-0.323986	0.108108
Psal_005815	0.2222	0.5278	0.2381	0.2069	0.284	0.17	0.506	40	0.617	0.512	81	82	0.339024	0.097561
Psal_005816	0.3211	0.3563	0.2709	0.255	0.206	0.013	0.424	56.92	0.503	0.508	743	771	-0.150454	0.094682
Psal_005817	0.3077	0.5068	0.1495	0.2333	0.23	0.112	0.478	50.16	0.614	0.563	251	260	-0.123846	0.065385
Psal_005818	0.3198	0.3503	0.271	0.2662	0.221	0.071	0.458	57.77	0.504	0.517	570	584	-0.132534	0.078767
Psal_005819	0.2454	0.2963	0.318	0.3628	0.19	-0.043	0.385	58.57	0.531	0.506	275	283	-0.39788	0.04947
Psal_005820	0.3008	0.3984	0.2345	0.2766	0.237	0.113	0.485	56.43	0.551	0.527	439	450	-0.157333	0.071111
Psal_005821	0.4293	0.2231	0.2669	0.2402	0.157	-0.023	0.393	55.08	0.391	0.544	1091	1112	-1.360252	0.047662
Psal_005822	0.3629	0.2992	0.2577	0.2696	0.2	0.02	0.426	59.25	0.471	0.519	592	616	-0.192532	0.068182
Psal_005823	0.3175	0.3835	0.2436	0.2518	0.228	0.108	0.477	56.13	0.526	0.534	1303	1349	-0.092735	0.074129
Psal_005824	0.1712	0.4708	0.254	0.3723	0.213	0.04	0.433	56.23	0.659	0.541	314	328	-0.056098	0.088415
Psal_005825	0.3896	0.2468	0.2473	0.2933	0.197	-0.006	0.411	55.75	0.451	0.516	443	451	-0.456985	0.039911
Psal_005826	0.3353	0.2914	0.3091	0.2352	0.165	-0.028	0.395	61	0.447	0.537	557	575	-0.874087	0.062609
Psal_005827	0.3389	0.3529	0.274	0.2649	0.199	0.01	0.412	58.03	0.496	0.502	833	874	-0.21476	0.091533
Psal_005828	0.3442	0.3958	0.2308	0.2043	0.201	0.067	0.452	55.52	0.507	0.519	578	596	-0.02349	0.077181
Psal_005829	0.2916	0.4876	0.1902	0.302	0.257	0.058	0.455	47.32	0.614	0.532	759	777	-0.4574	0.061776
Psal_005830	0.3503	0.3605	0.2392	0.209	0.243	0.138	0.505	54.58	0.489	0.534	321	326	-0.220552	0.101227
Psal_005831	0.3366	0.3725	0.2419	0.2824	0.202	-0.01	0.402	55.9	0.522	0.5	356	373	-0.012064	0.107239
Psal_005832	0.2672	0.3448	0.2427	0.3913	0.187	0.031	0.439	60.83	0.576	0.509	132	137	0.042336	0.10219
Psal_005833	0.3333	0.4063	0.2857	0.1622	0.277	0.013	0.457	51.98	0.486	0.521	105	110	-0.248182	0.136364
Psal_005834	0.3878	0.3265	0.24	0.3043	0.304	0.097	0.505	58.97	0.486	0.507	109	113	-0.283186	0.159292
Psal_005835	0.3083	0.3667	0.3302	0.1633	0.259	0.136	0.508	56.41	0.455	0.522	132	141	0.024823	0.120567
Psal_005836	0.3404	0.3511	0.3836	0.194	0.266	-0.033	0.434	61	0.434	0.486	106	111	-0.123423	0.144144
Psal_005837	0.2148	0.4094	0.35	0.188	0.214	0.097	0.461	48.66	0.515	0.546	167	174	0.046552	0.091954
Psal_005838	0.28	0.4	0.2584	0.2619	0.187	0.059	0.442	60.49	0.549	0.521	113	117	-0.499145	0.102564
Psal_005839	0.3174	0.3565	0.2612	0.2802	0.209	0.037	0.433	57.9	0.518	0.505	1327	1378	0.070102	0.112482
Psal_005840	0.3248	0.3725	0.2609	0.2778	0.232	0.058	0.452	58.45	0.519	0.518	642	664	-0.23509	0.066265
Psal_005841	0.3525	0.3582	0.2912	0.2748	0.241	0.043	0.457	57.79	0.492	0.504	644	670	-0.735821	0.091045
Psal_005842	0.2953	0.4362	0.2821	0.3014	0.279	0.188	0.543	60.84	0.553	0.526	197	206	-1.001942	0.087379
Psal_005843	0.2895	0.5	0.2124	0.2545	0.231	0.032	0.444	52.62	0.599	0.559	142	146	-1.04589	0.054795
Psal_005844	0.2833	0.4222	0.2703	0.2874	0.211	-0.049	0.383	58.14	0.555	0.511	227	235	-0.360426	0.076596
Psal_005845	0.3259	0.4067	0.2264	0.2768	0.243	0.106	0.479	56.89	0.546	0.509	405	424	-0.184434	0.129717
Psal_005846	0.3478	0.3593	0.27	0.2541	0.228	0.071	0.449	58.3	0.49	0.499	510	532	-0.164098	0.101504
Psal_005847	0.2948	0.2948	0.3036	0.2897	0.18	0.011	0.416	58.28	0.489	0.521	370	381	-0.087402	0.097113
Psal_005848	0.3172	0.411	0.1667	0.3065	0.233	0.103	0.467	53.27	0.59	0.542	351	362	-0.027901	0.107735
Psal_005849	0.3377	0.4098	0.2085	0.2	0.245	0.117	0.489	56.16	0.526	0.534	331	344	-0.062209	0.110465
Psal_005850	0.2254	0.3648	0.2743	0.2944	0.193	-0.03	0.401	55.93	0.565	0.539	269	275	0.031636	0.087273
Psal_005851	0.2586	0.3736	0.2925	0.2724	0.191	0.071	0.432	56.24	0.533	0.516	403	419	-0.04105	0.054893
Psal_005852	0.3075	0.4507	0.2261	0.1642	0.245	0.082	0.486	50.69	0.539	0.534	362	379	-0.091821	0.116095
Psal_005853	0.2927	0.3415	0.2237	0.2535	0.153	-0.032	0.391	56.15	0.529	0.596	87	90	0.181111	0.044444
Psal_005854	0.2807	0.2842	0.3115	0.3197	0.187	-0.005	0.417	58.7	0.5	0.534	350	358	-0.757542	0.039106
Psal_005855	0.3592	0.2876	0.2645	0.2737	0.197	0.014	0.418	59.17	0.468	0.529	980	1006	-0.439761	0.060636
Psal_005856	0.355	0.3588	0.234	0.16	0.193	0.083	0.45	56.32	0.468	0.539	278	281	0.298932	0.071174
Psal_005857	0.3413	0.3651	0.1966	0.3679	0.214	0.103	0.477	58.77	0.563	0.509	151	156	-0.439103	0.115385
Psal_005858	0.3309	0.341	0.2062	0.2844	0.184	0.004	0.417	55.44	0.535	0.571	779	794	-1.010579	0.037783
Psal_005859	0.2954	0.4062	0.2852	0.2941	0.234	0.011	0.438	57.3	0.542	0.516	400	410	-0.790732	0.080488
Psal_005860	0.3239	0.3507	0.3198	0.2484	0.209	-0.033	0.4	56.27	0.48	0.511	836	867	-0.511765	0.091119
Psal_005861	0.332	0.3495	0.2684	0.3289	0.22	-0.042	0.407	57.65	0.526	0.529	669	687	-0.795924	0.046579
Psal_005862	0.3471	0.3306	0.3358	0.28	0.201	0.048	0.451	57.87	0.463	0.488	162	170	-1.092941	0.094118
Psal_005863	0.3371	0.3457	0.2683	0.3247	0.207	-0.031	0.404	58.18	0.519	0.508	881	909	-0.79747	0.068207
Psal_005864	0.3221	0.349	0.3004	0.2983	0.218	0.006	0.429	51.52	0.504	0.519	347	357	-0.663305	0.098039
Psal_005865	0.3125	0.3625	0.2706	0.2651	0.197	0.021	0.444	54.07	0.515	0.549	99	102	-0.354902	0.068627
Psal_005866	0.2852	0.3641	0.2089	0.3793	0.213	-0.016	0.419	57.25	0.597	0.539	737	762	-0.760893	0.065617
Psal_005867	0.3272	0.4055	0.2282	0.276	0.233	0.111	0.475	59.37	0.544	0.501	259	270	-0.528889	0.085185
Psal_005868	0.3302	0.3778	0.2544	0.2803	0.234	0.12	0.482	59.26	0.523	0.509	369	379	-0.30343	0.108179
Psal_005869	0.3104	0.4198	0.2153	0.2752	0.201	0.043	0.428	58.19	0.559	0.506	442	456	0.148246	0.092105
Psal_005870	0.4085	0.3709	0.2715	0.217	0.278	0.124	0.496	55.79	0.46	0.537	272	278	-0.716187	0.053957
Psal_005871	0.3276	0.383	0.249	0.2196	0.203	0.034	0.442	54.92	0.509	0.525	633	650	-0.531231	0.086154
Psal_005872	0.3104	0.3923	0.2374	0.2674	0.198	0.044	0.435	57.86	0.543	0.542	865	902	-0.559313	0.076497
Psal_005873	0.3476	0.3561	0.2271	0.2873	0.231	0.051	0.443	58.92	0.519	0.513	393	408	-0.152206	0.110294
Psal_005874	0.2883	0.3865	0.2313	0.2667	0.16	-0.043	0.376	55.81	0.549	0.52	173	180	0.178889	0.088889
Psal_005875	0.3684	0.3263	0.2747	0.2706	0.225	0.011	0.43	55.69	0.474	0.511	114	118	-0.219491	0.110169
Psal_005876	0.2886	0.4094	0.236	0.2957	0.254	0.133	0.496	60.03	0.567	0.524	335	351	-0.201994	0.111111
Psal_005877	0.3394	0.3823	0.2772	0.2528	0.223	0.065	0.445	61	0.503	0.503	382	397	-0.281612	0.095718
Psal_005878	0.2979	0.4043	0.3421	0.2353	0.252	0.087	0.463	39.78	0.5	0.489	54	58	0.086207	0.137931
Psal_005879	0.331	0.3484	0.2869	0.2727	0.188	-0.034	0.396	59.98	0.495	0.504	323	341	-0.229912	0.120235
Psal_005880	0.3535	0.3457	0.2653	0.2644	0.23	0.074	0.459	59.94	0.49	0.496	727	761	-0.283574	0.111695
Psal_005881	0.3601	0.326	0.2737	0.2189	0.232	0.069	0.454	56.96	0.458	0.506	454	472	-0.315678	0.097458
Psal_005882	0.341	0.4066	0.207	0.2588	0.218	0.128	0.47	58.24	0.538	0.483	353	362	0.120718	0.08011
Psal_005883	0.2892	0.451	0.2191	0.2675	0.205	0.07	0.44	53.33	0.578	0.503	232	236	0.044915	0.080508
Psal_005884	0.2878	0.3895	0.246	0.2945	0.27	0.155	0.505	56.62	0.556	0.517	396	416	-0.060337	0.091346
Psal_005885	0.2877	0.411	0.2129	0.2857	0.218	0.137	0.473	57.39	0.576	0.533	330	342	-0.021638	0.084795
Psal_005886	0.231	0.4765	0.2132	0.3718	0.224	0.069	0.459	53.98	0.648	0.525	338	354	-0.293785	0.087571
Psal_005887	0.2889	0.3778	0.2734	0.3388	0.281	0.089	0.476	57.6	0.554	0.497	166	173	-0.398266	0.092486
Psal_005888	0.292	0.3796	0.3409	0.3008	0.213	-0.014	0.408	57.47	0.511	0.504	174	180	-0.444444	0.116667
Psal_005889	0.3129	0.3844	0.2567	0.2713	0.2	0.035	0.419	58.91	0.531	0.512	339	351	-0.103134	0.108262
Psal_005890	0.3503	0.2994	0.2847	0.2868	0.22	0.001	0.416	61	0.472	0.474	178	189	0.019577	0.10582
Psal_005891	0.3257	0.3844	0.2247	0.2984	0.197	0.04	0.42	55.12	0.545	0.502	352	363	-0.196419	0.101928
Psal_005892	0.2594	0.4094	0.3148	0.2612	0.168	-0.009	0.388	55.54	0.537	0.498	363	375	-0.057333	0.12
Psal_005893	0.2997	0.4108	0.1993	0.3241	0.218	0.064	0.447	59.44	0.585	0.513	349	357	-0.022689	0.072829
Psal_005894	0.3183	0.4006	0.2565	0.2676	0.211	0.047	0.442	56.03	0.531	0.514	717	742	-0.527763	0.092992
Psal_005895	0.2222	0.5168	0.1905	0.2643	0.23	0.099	0.483	48.56	0.654	0.558	433	459	-0.148802	0.106754
Psal_005896	0.309	0.4169	0.2397	0.3	0.219	0.054	0.445	54.4	0.559	0.521	712	736	-0.57038	0.095109
Psal_005897	0.2767	0.4591	0.2388	0.2441	0.212	-0.017	0.406	55.36	0.578	0.541	180	189	-0.091005	0.126984
Psal_005898	0.3093	0.3593	0.2653	0.3121	0.229	0.041	0.445	57.83	0.531	0.516	633	652	-0.407976	0.092025
Psal_005899	0.3305	0.3921	0.2358	0.3165	0.23	0.07	0.456	56.4	0.548	0.511	704	729	-0.570782	0.096022
Psal_005900	0.296	0.3645	0.2724	0.2962	0.188	0.08	0.441	58.52	0.532	0.504	365	374	-0.149198	0.090909
Psal_005901	0.278	0.3122	0.3495	0.3333	0.229	-0.026	0.41	57.22	0.5	0.506	244	251	-0.058566	0.063745
Psal_005902	0.2529	0.4713	0.2099	0.2133	0.21	0.071	0.458	61	0.594	0.55	96	100	0.143	0.07
Psal_005903	0.2466	0.3691	0.2826	0.3301	0.199	0.026	0.422	58.1	0.561	0.527	694	721	-0.140083	0.066574
Psal_005904	0.3231	0.2615	0.3265	0.306	0.202	0.012	0.423	58.83	0.457	0.498	234	245	-0.230612	0.081633
Psal_005905	0.3075	0.3881	0.2818	0.2741	0.167	-0.04	0.373	58.54	0.524	0.48	389	404	-0.205941	0.118812
Psal_005906	0.2944	0.381	0.2719	0.2539	0.192	0.068	0.44	54.99	0.522	0.506	525	545	-0.043303	0.069725
Psal_005907	0.3354	0.3457	0.2607	0.2333	0.203	0.076	0.453	57.47	0.487	0.518	532	551	-0.004719	0.083485
Psal_005908	0.2468	0.3766	0.3194	0.2571	0.213	0.083	0.461	59.77	0.528	0.549	89	91	-0.542857	0.054945
Psal_005909	0.267	0.4029	0.2743	0.2236	0.198	0.082	0.455	49.76	0.536	0.524	222	231	0.113853	0.08658
Psal_005910	0.2828	0.3793	0.2604	0.248	0.167	-0.003	0.398	56.55	0.531	0.528	322	334	-0.002994	0.062874
Psal_005911	0.2655	0.4055	0.2331	0.3351	0.219	0.046	0.444	55.8	0.59	0.528	741	767	-0.150065	0.083442
Psal_005912	0.3388	0.3532	0.2098	0.2872	0.211	0.074	0.451	57.23	0.529	0.524	541	559	-0.051699	0.078712
Psal_005913	0.2824	0.3664	0.264	0.2833	0.211	0.046	0.437	54	0.536	0.518	302	318	0.235849	0.097484
Psal_005914	0.3137	0.3913	0.2641	0.251	0.197	0.079	0.441	57.48	0.52	0.496	367	380	0.086579	0.092105
Psal_005915	0.2913	0.4144	0.2438	0.2654	0.193	0.062	0.437	55.63	0.555	0.507	373	382	-0.053665	0.099476
Psal_005916	0.3117	0.4167	0.2465	0.2625	0.218	0.044	0.435	57.37	0.541	0.489	375	382	-0.045811	0.099476
Psal_005917	0.3372	0.4128	0.2055	0.3074	0.26	0.08	0.461	57.21	0.561	0.499	401	413	-0.236804	0.108959
Psal_005918	0.2896	0.4179	0.2527	0.2471	0.226	0.155	0.489	55.4	0.548	0.506	372	385	0.015065	0.090909
Psal_005919	0.304	0.3993	0.2731	0.2521	0.247	0.076	0.464	58.16	0.527	0.518	319	326	-0.131288	0.095092
Psal_005920	0.3284	0.4216	0.2147	0.3114	0.27	0.087	0.477	53.9	0.568	0.508	243	248	-0.124597	0.116935
Psal_005921	0.3571	0.3321	0.2353	0.3166	0.225	0.034	0.431	61	0.516	0.501	339	351	-0.074074	0.082621
Psal_005922	0.3229	0.3229	0.3195	0.2664	0.186	-0.028	0.397	57.32	0.47	0.495	383	395	-0.274177	0.075949
Psal_005923	0.2932	0.3534	0.2715	0.2679	0.251	0.125	0.484	58.86	0.52	0.523	277	280	-0.1375	0.064286
Psal_005925	0.2983	0.3676	0.2788	0.2576	0.202	0.086	0.446	58.16	0.513	0.505	540	555	0.049189	0.063063
Psal_005926	0.3072	0.3791	0.2654	0.2513	0.21	0.1	0.458	55.31	0.517	0.506	524	543	-0.010497	0.071823
Psal_005927	0.2324	0.3662	0.2555	0.3203	0.166	0.034	0.41	61	0.578	0.529	161	167	0.100599	0.05988
Psal_005928	0.3233	0.3835	0.2489	0.243	0.204	0.057	0.428	58.32	0.515	0.499	299	312	0.011218	0.083333
Psal_005929	0.2929	0.4321	0.2148	0.2939	0.223	0.108	0.469	53.36	0.581	0.528	341	347	-0.117291	0.048991
Psal_005930	0.2909	0.375	0.2714	0.2834	0.182	-0.015	0.395	57.17	0.532	0.499	526	542	0.041144	0.084871
Psal_005931	0.2898	0.4227	0.1883	0.2898	0.209	0.101	0.456	55.26	0.592	0.539	515	533	0.053283	0.086304
Psal_005932	0.2273	0.3737	0.2487	0.3838	0.211	0.081	0.454	57.27	0.609	0.529	238	245	-0.03551	0.089796
Psal_005933	0.2862	0.3846	0.2482	0.3307	0.207	0.066	0.434	56.4	0.563	0.506	373	383	-0.121671	0.096606
Psal_005934	0.287	0.3897	0.2587	0.3113	0.197	0.046	0.423	55.76	0.553	0.5	378	390	-0.06282	0.097436
Psal_005935	0.28	0.37	0.2857	0.2431	0.179	-0.008	0.388	58.7	0.509	0.469	322	337	0.674778	0.109792
Psal_005936	0.2931	0.2931	0.2804	0.3434	0.166	0	0.394	56.2	0.515	0.521	132	140	-0.059286	0.085714
Psal_005937	0.3876	0.3258	0.1901	0.2815	0.178	-0.037	0.391	53.81	0.5	0.527	192	198	-0.15202	0.09596
Psal_005938	0.3478	0.2935	0.2625	0.2206	0.158	-0.003	0.389	54.29	0.442	0.472	95	101	0.565347	0.09901
Psal_005939	0.3106	0.3857	0.2089	0.3058	0.235	0.119	0.477	56.54	0.566	0.531	350	358	-0.069833	0.072626
Psal_005940	0.3155	0.3691	0.2912	0.1959	0.225	0.069	0.469	55.17	0.484	0.508	341	346	-0.484393	0.072254
Psal_005941	0.3005	0.3944	0.2296	0.2595	0.203	0.057	0.419	57.18	0.548	0.526	241	251	0.024701	0.075697
Psal_005942	0.3705	0.3669	0.2098	0.2367	0.233	0.051	0.462	55.15	0.502	0.491	301	311	-0.549839	0.080386
Psal_005943	0.3436	0.3692	0.1966	0.319	0.218	0.077	0.451	58.78	0.549	0.5	226	236	-0.138559	0.063559
Psal_005944	0.2762	0.3143	0.3191	0.3258	0.167	-0.013	0.397	56.96	0.512	0.496	121	125	-0.3392	0.056
Psal_005945	0.2841	0.3295	0.2469	0.3117	0.215	-0.088	0.367	53.76	0.541	0.553	98	100	0.201	0.1
Psal_005946	0.3186	0.2655	0.3482	0.2698	0.156	-0.079	0.369	61	0.44	0.535	268	273	-1.117949	0.040293
Psal_005947	0.277	0.3852	0.248	0.3095	0.222	0.109	0.474	58.03	0.562	0.507	673	699	0.137196	0.11731
Psal_005948	0.2058	0.3569	0.3754	0.3555	0.2	0.001	0.418	58.3	0.542	0.476	373	398	-0.187689	0.10804
Psal_005949	0.3338	0.3813	0.2554	0.229	0.194	0.013	0.416	56.43	0.505	0.502	848	872	-0.323395	0.077982
Psal_005951	0.2785	0.2886	0.2721	0.4063	0.198	-0.003	0.427	57.26	0.548	0.531	347	366	-0.440984	0.090164
Psal_005952	0.2623	0.4016	0.301	0.2323	0.195	0.037	0.437	61	0.533	0.536	135	140	-0.265	0.107143
Psal_005953	0.3295	0.341	0.2423	0.2801	0.2	0.033	0.433	60.2	0.514	0.528	397	410	-0.21561	0.07561
Psal_005954	0.32	0.3855	0.23	0.3	0.243	0.118	0.478	59.16	0.548	0.519	341	351	-0.101994	0.071225
Psal_005955	0.28	0.4133	0.2512	0.2553	0.2	0.069	0.439	56.68	0.551	0.504	512	527	0.020493	0.064516
Psal_005956	0.3191	0.3454	0.2832	0.2444	0.194	0.012	0.416	60.67	0.491	0.505	346	356	0.064607	0.061798
Psal_005958	0.3434	0.3096	0.2746	0.285	0.209	0.045	0.449	58.09	0.488	0.541	1017	1045	-0.919139	0.040191
Psal_005959	0.2824	0.3529	0.2803	0.3069	0.213	0.109	0.461	58.33	0.532	0.494	393	406	-0.019951	0.093596
Psal_005960	0.3333	0.3721	0.2735	0.2417	0.193	0.019	0.414	61	0.495	0.481	297	307	-0.014984	0.084691
Psal_005961	0.2759	0.3941	0.2284	0.3388	0.239	0.137	0.494	55.52	0.584	0.518	243	257	-0.436187	0.070039
